"","site_id","site_name","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_category","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no","observed_status_conflict_flag","gdd","gddf","tmax_winter","tmax_spring","tmax_summer","tmax_fall","tmax","tmaxf","tmin_winter","tmin_spring","tmin_summer","tmin_fall","tmin","tminf","prcp_winter","prcp_spring","prcp_summer","prcp_fall","prcp","acc_prcp","daylength"
"1",973,"Home",42.285683,-84.128387,307,"MI",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",1064,200,"Leaves","All leaves withered (herbaceous and grasses)",2009,11,21,325,2455157,21,2009,11,21,325,2455157,-9999,"-9999",3525.75,6346.35,-0.71,14.61,25.25,15.71,10,50,-10.68,2.16,13.32,3.95,3.5,38.3,195,320,306,321,0,896,33523
"2",973,"Home",42.285683,-84.128387,307,"MI",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",1064,201,"Flowers","Open flowers (1 location)",2009,7,12,193,2455025,6,2009,8,24,236,2455068,17,"-9999",1628.25,2930.85,-0.71,14.61,25.25,15.71,28,82.4,-10.68,2.16,13.32,3.95,10.5,50.9,195,320,306,321,0,575,53568
"3",973,"Home",42.285683,-84.128387,307,"MI",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",1064,202,"Fruits","Ripe fruits (1 location)",2009,8,24,236,2455068,19,2009,11,21,325,2455157,-9999,"-9999",2504.25,4507.65,-0.71,14.61,25.25,15.71,22.5,72.5,-10.68,2.16,13.32,3.95,10.5,50.9,195,320,306,321,1,685,48038
"4",973,"Home",42.285683,-84.128387,307,"MI",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",1064,482,"Leaves","Initial growth (forbs)",2009,3,20,79,2454911,2,2009,4,2,92,2454924,8,"-9999",102.25,184.05,-0.71,14.61,25.25,15.71,5.5,41.9,-10.68,2.16,13.32,3.95,-8,17.6,195,320,306,321,0,183,42854
"5",973,"Home",42.285683,-84.128387,307,"MI",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",1064,488,"Leaves","Leaves (forbs)",2009,4,1,91,2454923,-9999,2009,5,25,145,2454977,2,"-9999",160.5,288.9,-0.71,14.61,25.25,15.71,11.5,52.7,-10.68,2.16,13.32,3.95,1.5,34.7,195,320,306,321,0,201,44928
"6",906,"yard",38.804558,-89.944405,165,"IL",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",1095,200,"Leaves","All leaves withered (herbaceous and grasses)",2009,3,7,66,2454898,-9999,2009,3,10,69,2454901,5,"-9999",176.5,317.7,5.06,19.18,28.85,19.38,26,78.8,-5.75,7.72,18.28,7.9,13.5,56.3,233,405,342,314,0,99,40781
"7",906,"yard",38.804558,-89.944405,165,"IL",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",1095,200,"Leaves","All leaves withered (herbaceous and grasses)",2009,11,10,314,2455146,9,2009,11,10,314,2455146,-9999,"-9999",4632.75,8338.95,5.06,19.18,28.85,19.38,20,68,-5.75,7.72,18.28,7.9,10,50,233,405,342,314,0,1255,35942
"8",906,"yard",38.804558,-89.944405,165,"IL",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",1095,201,"Flowers","Open flowers (1 location)",2009,6,7,158,2454990,33,2009,8,20,232,2455064,43,"-9999",1525.5,2745.9,5.06,19.18,28.85,19.38,27,80.6,-5.75,7.72,18.28,7.9,16.5,61.7,233,405,342,314,0,511,52531
"9",906,"yard",38.804558,-89.944405,165,"IL",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",1095,202,"Fruits","Ripe fruits (1 location)",2009,10,2,275,2455107,117,2009,11,10,314,2455146,-9999,"-9999",4178.75,7521.75,5.06,19.18,28.85,19.38,20,68,-5.75,7.72,18.28,7.9,9,48.2,233,405,342,314,14,932,41472
"10",906,"yard",38.804558,-89.944405,165,"IL",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",1095,482,"Leaves","Initial growth (forbs)",2009,3,14,73,2454905,4,2009,3,28,87,2454919,21,"-9999",232.75,418.95,5.06,19.18,28.85,19.38,11,51.8,-5.75,7.72,18.28,7.9,-3,26.6,233,405,342,314,0,110,41818
