"","site_id","latitude","longitude","elevation_in_meters","state","species_id","common_name","individual_id","phenophase_id","phenophase_description","observation_date","day_of_year","year","open_flower_estimate","max_flowers","near_max_threshold","is_near_max","peak"
"1",2766,43.738049,-96.625381,484,"SD",186,"Missouri goldenrod",9342,500,"Flowers or flower buds","2013-08-13",225,2013,7,47.6,35.7,0,0
"2",2766,43.738049,-96.625381,484,"SD",186,"Missouri goldenrod",9342,500,"Flowers or flower buds","2013-08-23",235,2013,2.8,47.6,35.7,0,0
"3",2766,43.738049,-96.625381,484,"SD",186,"Missouri goldenrod",9342,500,"Flowers or flower buds","2013-09-04",247,2013,47.6,47.6,35.7,1,1
"4",2766,43.738049,-96.625381,484,"SD",186,"Missouri goldenrod",9342,501,"Open flowers","2013-08-23",235,2013,2.8,47.6,35.7,0,0
"5",2766,43.738049,-96.625381,484,"SD",186,"Missouri goldenrod",9342,501,"Open flowers","2013-09-04",247,2013,47.6,47.6,35.7,1,1
"6",11200,36.483025,-94.135567,386,"AR",186,"Missouri goldenrod",52455,500,"Flowers or flower buds","2013-08-29",241,2013,950.95,950.95,713.2125,1,1
"7",11200,36.483025,-94.135567,386,"AR",186,"Missouri goldenrod",52455,501,"Open flowers","2013-08-29",241,2013,950.95,950.95,713.2125,1,1
"8",10936,38.802597,-76.691757,17,"MD",197,"swamp milkweed",43650,500,"Flowers or flower buds","2013-05-22",142,2013,0,47.6,35.7,0,0
"9",10936,38.802597,-76.691757,17,"MD",197,"swamp milkweed",43650,500,"Flowers or flower buds","2013-05-29",149,2013,0,47.6,35.7,0,0
"10",10936,38.802597,-76.691757,17,"MD",197,"swamp milkweed",43650,500,"Flowers or flower buds","2013-06-04",155,2013,0,47.6,35.7,0,0
"11",10936,38.802597,-76.691757,17,"MD",197,"swamp milkweed",43650,500,"Flowers or flower buds","2013-06-06",157,2013,0,47.6,35.7,0,0
