"","site_id","latitude","longitude","elevation_in_meters","state","species_id","common_name","individual_id","phenophase_id","phenophase_description","observation_date","day_of_year","year","ripe_fruit_estimate","max_fruits","near_max_threshold","is_near_max","peak"
"1",12273,39.663441,-104.87542,1662,"CO",197,"swamp milkweed",51716,390,"Ripe fruits","2013-09-26",269,2013,0,6.65,4.9875,0,0
"2",12273,39.663441,-104.87542,1662,"CO",197,"swamp milkweed",51716,390,"Ripe fruits","2013-10-06",279,2013,0,6.65,4.9875,0,0
"3",12273,39.663441,-104.87542,1662,"CO",197,"swamp milkweed",51716,390,"Ripe fruits","2013-10-13",286,2013,0,6.65,4.9875,0,0
"4",12273,39.663441,-104.87542,1662,"CO",197,"swamp milkweed",51716,390,"Ripe fruits","2013-10-24",297,2013,6.65,6.65,4.9875,1,1
"5",12273,39.663441,-104.87542,1662,"CO",197,"swamp milkweed",51716,390,"Ripe fruits","2013-11-02",306,2013,6.65,6.65,4.9875,1,1
"6",12273,39.663441,-104.87542,1662,"CO",197,"swamp milkweed",51716,390,"Ripe fruits","2013-11-17",321,2013,1.9,6.65,4.9875,0,0
"7",12273,39.663441,-104.87542,1662,"CO",197,"swamp milkweed",51716,390,"Ripe fruits","2013-11-28",332,2013,6.65,6.65,4.9875,1,1
"8",12273,39.663441,-104.87542,1662,"CO",197,"swamp milkweed",51716,516,"Fruits","2013-09-26",269,2013,0,6.65,4.9875,0,0
"9",12273,39.663441,-104.87542,1662,"CO",197,"swamp milkweed",51716,516,"Fruits","2013-10-06",279,2013,0,6.65,4.9875,0,0
"10",12273,39.663441,-104.87542,1662,"CO",197,"swamp milkweed",51716,516,"Fruits","2013-10-13",286,2013,0,6.65,4.9875,0,0
"11",12273,39.663441,-104.87542,1662,"CO",197,"swamp milkweed",51716,516,"Fruits","2013-10-24",297,2013,6.65,6.65,4.9875,1,1
"12",12273,39.663441,-104.87542,1662,"CO",197,"swamp milkweed",51716,516,"Fruits","2013-11-02",306,2013,6.65,6.65,4.9875,1,1
"13",12273,39.663441,-104.87542,1662,"CO",197,"swamp milkweed",51716,516,"Fruits","2013-11-17",321,2013,1.9,6.65,4.9875,0,0
"14",12273,39.663441,-104.87542,1662,"CO",197,"swamp milkweed",51716,516,"Fruits","2013-11-28",332,2013,6.65,6.65,4.9875,1,1
"15",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,390,"Ripe fruits","2013-01-04",4,2013,0,53.2,39.9,0,0
"16",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,390,"Ripe fruits","2013-01-11",11,2013,0,53.2,39.9,0,0
"17",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,390,"Ripe fruits","2013-01-21",21,2013,0,53.2,39.9,0,0
