"","ind_pp_year","site_id","site_name","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_category","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no","observed_status_conflict_flag","prcp_summer","prcp_fall","prcp_winter","prcp_spring","tmin_summer","tmin_fall","tmin_winter","tmin_spring","tmax_summer","tmax_fall","tmax_winter","tmax_spring","year","peak_onset_doy","peak_end_doy","peak_duration","discontinuous_peak"
"1","100686_390_2016",17061,"JMNR",35.074306,-92.462051,89,"AR",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",100686,390,"Fruits","Ripe fruits",2016,1,20,20,2457408,-9999,2016,1,20,20,2457408,7,"-9999",335,454,323,468,21.99,11.25,0.64,10.16,33.08,24.66,13.5,23.07,2016,344,344,1,NA
"2","100686_390_2017",17061,"JMNR",35.074306,-92.462051,89,"AR",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",100686,390,"Fruits","Ripe fruits",2017,1,12,12,2457766,-9999,2017,2,16,47,2457801,7,"-9999",392,177,238,574,20.22,11.83,1.54,10.22,31.46,25.96,13.35,23.47,2017,12,47,36,NA
"3","101780_501_2016",22671,"Home",37.029564,-92.088303,375,"MO",781,"Acer","saccharinum","silver maple","Plantae",101780,501,"Flowers","Open flowers",2016,2,28,59,2457447,-9999,2016,2,29,60,2457448,-9999,"-9999",476,357,301,410,19.56,8.86,-2.12,7.61,30.24,21.1,9.94,20.33,NA,NA,NA,NA,NA
"4","10203_501_2011",5200,"Home",30.479359,-84.189438,24,"FL",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",10203,501,"Flowers","Open flowers",2011,4,24,114,2455676,23,2011,5,14,134,2455696,-9999,"-9999",396,201,293,176,21.88,12.82,1.83,12.36,34.84,28.19,16.21,27.98,NA,NA,NA,NA,NA
"5","10212_390_2010",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,390,"Fruits","Ripe fruits",2010,9,29,272,2455469,13,2010,12,10,344,2455541,12,"-9999",317,514,372,295,22.14,13.05,-0.15,10.59,31.76,21.45,8.69,21.68,NA,NA,NA,NA,NA
"6","10212_390_2011",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,390,"Fruits","Ripe fruits",2011,9,8,251,2455813,7,2011,12,19,353,2455915,-9999,"-9999",604,428,187,171,21.48,12.23,-0.95,10.67,31.21,22.42,8.83,21.54,NA,NA,NA,NA,NA
"7","10212_390_2012",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,390,"Fruits","Ripe fruits",2012,1,5,5,2455932,-9999,2012,4,10,101,2456028,9,"-9999",459,256,162,367,21.27,12.57,2.86,11.66,30.21,22.31,13.29,22.09,NA,NA,NA,NA,NA
"8","10212_390_2013",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,390,"Fruits","Ripe fruits",2013,9,12,255,2456548,7,2013,12,17,351,2456644,9,"-9999",343,330,273,256,20.95,11.35,2.5,8.91,29.67,20.53,11.81,18.95,2013,274,351,78,NA
"9","10212_390_2014",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,390,"Fruits","Ripe fruits",2014,8,31,243,2456901,9,2014,12,6,340,2456998,8,"-9999",307,209,281,419,20.32,11.42,-0.11,8.88,29.36,21.5,10.77,19.76,2014,271,340,70,NA
"10","10212_390_2016",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,390,"Fruits","Ripe fruits",2016,9,26,270,2457658,7,2016,12,31,366,2457754,-9999,"-9999",462,350,393,304,21.93,13.79,3.76,10.31,31.1,22.96,13.48,20.76,2016,289,324,36,NA
