"","site_id","site_name","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_category","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no","observed_status_conflict_flag","prcp_summer","prcp_fall","prcp_winter","prcp_spring","tmin_summer","tmin_fall","tmin_winter","tmin_spring","tmax_summer","tmax_fall","tmax_winter","tmax_spring"
"1",1447,"Home",42.176537,-85.892448,230,"MI",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",2713,482,"Leaves","Initial growth (forbs)",2022,4,30,120,2459700,4,2022,5,8,128,2459708,-9999,"-9999",298.84,301.09,190.2,308.78,15.7514130434783,7.69692307692308,-6.673,3.96423913043478,27.793152173913,17.7036263736264,2.30477777777778,14.8571739130435
"2",1447,"Home",42.176537,-85.892448,230,"MI",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",2713,488,"Leaves","Leaves (forbs)",2022,5,8,128,2459708,8,2022,5,8,128,2459708,-9999,"-9999",298.84,301.09,190.2,308.78,15.7514130434783,7.69692307692308,-6.673,3.96423913043478,27.793152173913,17.7036263736264,2.30477777777778,14.8571739130435
"3",2669,"home",40.775406,-77.789986,334,"PA",931,"Monarda","fistulosa","wild bergamot","Plantae",289863,488,"Leaves","Leaves (forbs)",2022,4,24,114,2459694,3,2022,5,16,136,2459716,-9999,"-9999",231.69,352.36,227.68,271.97,15.1444565217391,6.68571428571429,-6.20555555555556,3.43304347826087,27.9896739130435,17.3793406593407,4.12222222222222,15.8069565217391
"4",2669,"home",40.775406,-77.789986,334,"PA",931,"Monarda","fistulosa","wild bergamot","Plantae",289863,488,"Leaves","Leaves (forbs)",2022,4,19,109,2459689,4,2022,4,19,109,2459689,2,"-9999",231.69,352.36,227.68,271.97,15.1444565217391,6.68571428571429,-6.20555555555556,3.43304347826087,27.9896739130435,17.3793406593407,4.12222222222222,15.8069565217391
"5",2669,"home",40.775406,-77.789986,334,"PA",931,"Monarda","fistulosa","wild bergamot","Plantae",289863,482,"Leaves","Initial growth (forbs)",2022,3,25,84,2459664,2,2022,4,26,116,2459696,3,"-9999",231.69,352.36,227.68,271.97,15.1444565217391,6.68571428571429,-6.20555555555556,3.43304347826087,27.9896739130435,17.3793406593407,4.12222222222222,15.8069565217391
"6",2772,"My holler",36.440838,-84.323586,383,"TN",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",11968,488,"Leaves","Leaves (forbs)",2022,4,28,118,2459698,4,2022,4,28,118,2459698,-9999,"-9999",570.95,323.17,481.82,335.06,17.6490217391304,7.86153846153846,-1.47233333333333,6.70380434782609,29.7964130434783,19.9785714285714,10.8583333333333,21.0553260869565
"7",8253,"Home",40.672852,-111.969254,1331,"UT",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",23674,390,"Fruits","Ripe fruits",2022,10,26,299,2459879,7,2022,10,26,299,2459879,-9999,"-9999",66.9,114.09,70.75,97.43,18.7623913043478,6.96725274725275,-4.52088888888889,4.11608695652174,33.800652173913,19.6642857142857,5.73,17.5197826086957
"8",8253,"Home",40.672852,-111.969254,1331,"UT",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",23674,482,"Leaves","Initial growth (forbs)",2022,4,4,94,2459674,1,2022,4,4,94,2459674,11,"-9999",66.9,114.09,70.75,97.43,18.7623913043478,6.96725274725275,-4.52088888888889,4.11608695652174,33.800652173913,19.6642857142857,5.73,17.5197826086957
"9",8253,"Home",40.672852,-111.969254,1331,"UT",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",23674,482,"Leaves","Initial growth (forbs)",2022,6,17,168,2459748,50,2022,6,17,168,2459748,25,"-9999",66.9,114.09,70.75,97.43,18.7623913043478,6.96725274725275,-4.52088888888889,4.11608695652174,33.800652173913,19.6642857142857,5.73,17.5197826086957
"10",8253,"Home",40.672852,-111.969254,1331,"UT",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",23674,488,"Leaves","Leaves (forbs)",2022,4,4,94,2459674,1,2022,10,26,299,2459879,-9999,"-9999",66.9,114.09,70.75,97.43,18.7623913043478,6.96725274725275,-4.52088888888889,4.11608695652174,33.800652173913,19.6642857142857,5.73,17.5197826086957
