"","observation_id","observedby_person_id","site_id","latitude","longitude","elevation_in_meters","state","species_id","common_name","individual_id","phenophase_id","phenophase_description","observation_date","day_of_year","phenophase_status","intensity_category_id","intensity_value","year","midpoint","midpoint2","ave_midpoint","open_flower_estimate"
"1",2625971,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-01-04",4,0,48,NA,2013,NA,0,0,0
"2",2626047,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-01-11",11,0,48,NA,2013,NA,0,0,0
"3",2626735,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-01-21",21,0,48,NA,2013,NA,0,0,0
"4",2626811,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-01-30",30,0,48,NA,2013,NA,0,0,0
"5",2627026,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-02-06",37,0,48,NA,2013,NA,0,0,0
"6",2627102,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-02-13",44,0,48,NA,2013,NA,0,0,0
"7",2627178,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-02-20",51,0,48,NA,2013,NA,0,0,0
"8",2627254,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-02-27",58,0,48,NA,2013,NA,0,0,0
"9",2627330,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-03-08",67,0,48,NA,2013,NA,0,0,0
"10",2627406,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-03-15",74,0,48,NA,2013,NA,0,0,0
"11",2627482,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-03-27",86,0,48,NA,2013,NA,0,0,0
"12",2627556,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-04-04",94,0,48,NA,2013,NA,0,0,0
"13",2627632,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-04-12",102,0,48,NA,2013,NA,0,0,0
"14",2627710,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-04-19",109,0,48,NA,2013,NA,0,0,0
"15",2627786,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-04-26",116,0,48,NA,2013,NA,0,0,0
"16",2627862,3111,5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-05-07",127,0,48,NA,2013,NA,0,0,0
