,site_id,common_name,individual_id,year,peak_onset_doy,peak_end_doy,peak_duration,discontinuous_peak
1,549,eastern purple coneflower,44752,2013,183,183,1,NA
2,1784,eastern purple coneflower,3419,2014,185,185,1,NA
3,2772,eastern purple coneflower,11968,2013,195,249,55,NA
4,5206,common buttonbush,10212,2013,178,189,12,NA
5,5206,common buttonbush,10212,2014,177,186,10,NA
6,5206,common buttonbush,10212,2015,176,176,1,NA
7,5206,common buttonbush,10212,2016,182,182,1,NA
8,5206,common buttonbush,10212,2017,176,182,7,NA
9,5206,common buttonbush,10213,2013,142,189,48,1
10,5206,common buttonbush,10213,2014,177,186,10,NA
11,5206,common buttonbush,10213,2015,176,176,1,NA
12,5206,common buttonbush,10213,2016,182,182,1,NA
13,5206,common buttonbush,10213,2017,176,176,1,NA
14,5207,common buttonbush,10215,2013,189,197,9,NA
15,5207,common buttonbush,10215,2014,193,193,1,NA
16,5207,common buttonbush,10215,2015,176,176,1,NA
17,5207,common buttonbush,10215,2016,188,188,1,NA
18,5207,common buttonbush,10215,2017,176,176,1,NA
19,6466,showy milkweed,90113,2015,139,139,1,NA
20,6466,showy milkweed,90113,2016,168,168,1,NA
21,6466,showy milkweed,90113,2017,163,163,1,NA
22,6466,showy milkweed,90113,2018,178,178,1,NA
23,6466,showy milkweed,90113,2021,183,183,1,NA
24,6695,tall blazing star,24090,2013,242,242,1,NA
25,6695,tall blazing star,24091,2013,242,250,9,NA
26,6695,tall blazing star,24092,2013,242,242,1,NA
27,6701,eastern purple coneflower,66579,2018,190,239,50,NA
28,6701,eastern purple coneflower,66579,2019,189,223,35,NA
29,6701,eastern purple coneflower,66579,2020,216,235,20,NA
30,6701,eastern purple coneflower,66579,2021,221,221,1,NA
31,8253,eastern purple coneflower,23674,2020,173,173,1,NA
32,8253,eastern purple coneflower,23674,2022,193,193,1,NA
33,8418,common sunflower,68376,2014,172,180,9,NA
34,8418,common sunflower,87567,2016,157,157,1,NA
35,8418,common sunflower,87567,2017,127,141,15,NA
36,8736,eastern purple coneflower,29582,2013,228,228,1,NA
37,9041,showy milkweed,30859,2013,194,194,1,NA
38,9041,showy milkweed,30859,2014,191,191,1,NA
39,9621,common buttonbush,35996,2013,152,152,1,NA
40,9813,common buttonbush,37198,2013,166,166,1,NA
41,10753,eastern purple coneflower,64237,2013,194,194,1,NA
42,10832,eastern purple coneflower,43579,2014,176,176,1,NA
43,10832,eastern purple coneflower,43579,2015,217,217,1,NA
44,10835,eastern purple coneflower,43025,2013,177,177,1,NA
45,10835,eastern purple coneflower,43025,2022,191,191,1,NA
46,10936,cardinalflower,43659,2013,235,235,1,NA
47,10936,common buttonbush,43655,2013,179,179,1,NA
48,10936,eastern purple coneflower,43656,2013,186,204,19,NA
49,10936,wild bergamot,43661,2013,179,183,5,NA
50,11617,eastern purple coneflower,165783,2018,199,205,7,NA
51,11617,wild bergamot,165779,2018,199,205,7,NA
52,11782,cardinalflower,49807,2013,250,250,1,NA
53,11795,common sunflower,53261,2013,277,277,1,NA
54,16267,common buttonbush,230304,2022,201,201,1,NA
55,16267,common buttonbush,231683,2022,227,227,1,NA
56,16267,eastern purple coneflower,230311,2022,215,234,20,1
57,16267,tall blazing star,230324,2022,227,231,5,NA
58,16454,wild bergamot,106175,2017,227,229,3,NA
59,16454,wild bergamot,106175,2018,270,270,1,NA
60,16454,wild bergamot,106175,2019,218,218,1,NA
61,16454,wild bergamot,106175,2020,203,210,8,NA
62,16454,wild bergamot,106175,2021,242,242,1,NA
63,16454,wild bergamot,106175,2022,200,213,14,NA
64,16786,showy milkweed,113630,2017,149,156,8,NA
65,16786,showy milkweed,113630,2018,148,155,8,NA
66,16786,showy milkweed,113630,2019,161,161,1,NA
67,17311,wild bergamot,141945,2018,306,306,1,NA
68,17405,cardinalflower,66920,2015,237,243,7,1
69,17405,cardinalflower,66920,2017,212,212,1,NA
70,18150,showy milkweed,71294,2014,196,196,1,NA
71,18180,tall blazing star,71618,2014,161,161,1,NA
72,18180,tall blazing star,71619,2014,161,161,1,NA
73,18208,cardinalflower,73868,2014,248,251,4,NA
74,18208,cardinalflower,73870,2014,248,251,4,NA
75,18400,eastern purple coneflower,72662,2014,216,216,1,NA
76,19661,common sunflower,87703,2015,154,154,1,NA
77,19661,common sunflower,87703,2016,157,349,193,1
78,19661,common sunflower,87703,2017,141,141,1,NA
79,19824,eastern purple coneflower,236139,2020,163,198,36,NA
80,19824,eastern purple coneflower,236139,2021,161,242,82,NA
81,19824,eastern purple coneflower,236139,2022,147,147,1,NA
82,20300,common sunflower,91309,2016,171,171,1,NA
83,20617,eastern purple coneflower,94070,2015,250,250,1,NA
84,21180,tall blazing star,91248,2015,208,208,1,NA
85,21207,common sunflower,91480,2020,118,118,1,NA
86,21260,common sunflower,91917,2015,205,206,2,NA
87,21705,cardinalflower,95114,2015,265,265,1,NA
88,21812,cardinalflower,230980,2020,212,257,46,1
89,21812,eastern purple coneflower,230955,2020,212,212,1,NA
90,22315,eastern purple coneflower,154703,2018,154,154,1,NA
91,22315,eastern purple coneflower,154704,2018,154,154,1,NA
92,22580,wild bergamot,235983,2020,207,207,1,NA
93,22580,wild bergamot,235983,2022,182,203,22,1
94,22851,wild bergamot,142074,2017,219,219,1,NA
95,22981,tall blazing star,172488,2018,249,249,1,NA
96,22981,tall blazing star,172488,2019,248,248,1,NA
97,22981,tall blazing star,199139,2019,248,248,1,NA
98,23026,wild bergamot,104268,2016,123,123,1,NA
99,23026,wild bergamot,104269,2016,123,123,1,NA
100,23069,cardinalflower,110661,2016,217,217,1,NA
101,23069,cardinalflower,110661,2017,212,228,17,NA
102,23069,eastern purple coneflower,110660,2016,182,182,1,NA
103,23069,eastern purple coneflower,110660,2017,172,172,1,NA
104,23641,wild bergamot,192172,2019,201,209,9,1
105,23641,wild bergamot,192172,2020,228,243,16,NA
106,23676,tall blazing star,114082,2016,235,235,1,NA
107,23882,wild bergamot,112820,2016,180,181,2,NA
108,23907,eastern purple coneflower,140185,2017,176,176,1,NA
109,23907,eastern purple coneflower,140185,2018,203,203,1,NA
110,24083,wild bergamot,113919,2016,220,220,1,NA
111,24083,wild bergamot,113923,2016,220,220,1,NA
112,24566,wild bergamot,192174,2019,206,217,12,1
113,24566,wild bergamot,192174,2020,191,202,12,1
114,24566,wild bergamot,192174,2021,196,196,1,NA
115,24692,wild bergamot,192173,2019,199,210,12,NA
116,24692,wild bergamot,192173,2021,188,188,1,NA
117,25424,wild bergamot,122716,2017,172,172,1,NA
118,25424,wild bergamot,122716,2020,205,210,6,NA
119,25424,wild bergamot,122716,2021,203,218,16,NA
120,25424,wild bergamot,122716,2022,197,215,19,NA
121,25424,wild bergamot,122730,2020,205,219,15,NA
122,25424,wild bergamot,122730,2021,196,218,23,1
123,25424,wild bergamot,122730,2022,197,215,19,NA
124,25442,cardinalflower,122887,2017,207,207,1,NA
125,25442,eastern purple coneflower,122892,2017,207,207,1,NA
126,25442,eastern purple coneflower,122892,2018,177,177,1,NA
127,25442,eastern purple coneflower,122892,2019,175,175,1,NA
128,25442,wild bergamot,122876,2019,175,175,1,NA
129,25661,wild bergamot,128495,2018,220,220,1,NA
130,25661,wild bergamot,128495,2019,210,210,1,NA
131,25661,wild bergamot,128495,2020,201,201,1,NA
132,25661,wild bergamot,128495,2021,213,213,1,NA
133,25661,wild bergamot,128495,2022,203,212,10,NA
134,25850,eastern purple coneflower,127046,2017,176,176,1,NA
135,26079,tall blazing star,288437,2022,284,284,1,NA
136,26170,eastern purple coneflower,130831,2017,212,252,41,NA
137,26641,cardinalflower,134818,2017,264,271,8,NA
138,26641,cardinalflower,134818,2018,241,319,79,1
139,26641,cardinalflower,134818,2019,262,310,49,1
140,26641,cardinalflower,134818,2020,239,239,1,NA
141,27181,wild bergamot,139374,2017,150,150,1,NA
142,27344,tall blazing star,140484,2017,233,233,1,NA
143,27418,eastern purple coneflower,141523,2017,218,250,33,NA
144,27458,common sunflower,141730,2017,219,288,70,1
145,27474,common buttonbush,141889,2017,231,231,1,NA
146,27474,common buttonbush,141889,2018,159,159,1,NA
147,27474,common buttonbush,141889,2019,221,248,28,NA
148,27474,common buttonbush,141889,2020,74,74,1,NA
149,27474,common buttonbush,141889,2022,213,213,1,NA
150,27474,common buttonbush,293782,2022,273,273,1,NA
151,27475,common buttonbush,293842,2022,181,181,1,NA
152,27477,common buttonbush,141920,2018,234,234,1,NA
153,27477,common buttonbush,141920,2019,178,213,36,NA
154,27477,common buttonbush,141920,2022,154,154,1,NA
155,27659,eastern purple coneflower,143333,2017,248,248,1,NA
156,27659,eastern purple coneflower,143348,2017,245,248,4,NA
157,27659,eastern purple coneflower,143349,2017,245,251,7,1
158,27697,common sunflower,143727,2017,251,251,1,NA
159,27697,eastern purple coneflower,143729,2017,251,251,1,NA
160,27856,eastern purple coneflower,174590,2019,244,289,46,1
161,27856,eastern purple coneflower,174590,2020,226,270,45,NA
162,27856,eastern purple coneflower,174590,2021,241,268,28,1
163,27856,eastern purple coneflower,174590,2022,250,259,10,NA
164,28509,common sunflower,148374,2017,213,213,1,NA
165,28906,eastern purple coneflower,202063,2019,183,183,1,NA
166,28943,eastern purple coneflower,163681,2019,185,185,1,NA
167,29474,cardinalflower,156304,2018,187,187,1,NA
168,29887,showy milkweed,160696,2018,165,165,1,NA
169,29887,showy milkweed,160696,2019,191,191,1,NA
170,29887,showy milkweed,160696,2020,184,184,1,NA
171,29887,showy milkweed,160696,2021,183,183,1,NA
172,29887,showy milkweed,160696,2022,182,182,1,NA
173,29887,wild bergamot,160698,2018,203,203,1,NA
174,29887,wild bergamot,160698,2019,219,219,1,NA
175,29887,wild bergamot,160698,2020,209,209,1,NA
176,29887,wild bergamot,160698,2021,216,216,1,NA
177,29951,wild bergamot,161219,2018,200,200,1,NA
178,30053,cardinalflower,160104,2018,221,221,1,NA
179,30053,cardinalflower,160105,2018,207,235,29,NA
