"","observation_id","observedby_person_id","update_datetime","site_id","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","observation_date","day_of_year","phenophase_status","intensity_category_id","intensity_value","abundance_value"
"1",643750,3820,"-9999",6061,35.48304,-97.255737,350,"OK",197,"Asclepias","incarnata","swamp milkweed","Plantae",15643,501,"Open flowers","2011-08-17",229,1,29,"3 to 10",-9999
"2",647707,3820,"-9999",6061,35.48304,-97.255737,350,"OK",197,"Asclepias","incarnata","swamp milkweed","Plantae",15643,501,"Open flowers","2011-08-21",233,0,29,"-9999",-9999
"3",647870,3820,"-9999",6061,35.48304,-97.255737,350,"OK",197,"Asclepias","incarnata","swamp milkweed","Plantae",15643,501,"Open flowers","2011-08-22",234,1,29,"3 to 10",-9999
"4",629771,3820,"-9999",6040,35.448448,-97.234116,369,"OK",203,"Helianthus","annuus","common sunflower","Plantae",15078,501,"Open flowers","2011-08-11",223,1,29,"3 to 10",-9999
"5",632996,3820,"-9999",6040,35.448448,-97.234116,369,"OK",203,"Helianthus","annuus","common sunflower","Plantae",15078,501,"Open flowers","2011-08-12",224,1,29,"3 to 10",-9999
"6",643393,3820,"-9999",6040,35.448448,-97.234116,369,"OK",203,"Helianthus","annuus","common sunflower","Plantae",15078,501,"Open flowers","2011-08-16",228,1,29,"3 to 10",-9999
"7",646295,2748,"-9999",6013,30.27471,-97.693077,157,"TX",203,"Helianthus","annuus","common sunflower","Plantae",15463,501,"Open flowers","2011-08-06",218,1,29,"More than 10",-9999
"8",643712,3820,"-9999",6061,35.48304,-97.255737,350,"OK",203,"Helianthus","annuus","common sunflower","Plantae",15637,501,"Open flowers","2011-08-17",229,1,29,"3 to 10",-9999
"9",647669,3820,"-9999",6061,35.48304,-97.255737,350,"OK",203,"Helianthus","annuus","common sunflower","Plantae",15637,501,"Open flowers","2011-08-21",233,0,29,"-9999",-9999
"10",647832,3820,"-9999",6061,35.48304,-97.255737,350,"OK",203,"Helianthus","annuus","common sunflower","Plantae",15637,501,"Open flowers","2011-08-22",234,1,29,"3 to 10",-9999
"11",633017,3820,"-9999",6040,35.448448,-97.234116,369,"OK",207,"Symphyotrichum","ericoides","white heath aster","Plantae",15080,501,"Open flowers","2011-08-11",223,0,29,"-9999",-9999
"12",633024,3820,"-9999",6040,35.448448,-97.234116,369,"OK",207,"Symphyotrichum","ericoides","white heath aster","Plantae",15080,501,"Open flowers","2011-08-12",224,0,29,"-9999",-9999
"13",643407,3820,"-9999",6040,35.448448,-97.234116,369,"OK",207,"Symphyotrichum","ericoides","white heath aster","Plantae",15080,501,"Open flowers","2011-08-16",228,0,29,"-9999",-9999
"14",1176864,5142,"-9999",8622,35.565228,-106.103485,1852,"NM",203,"Helianthus","annuus","common sunflower","Plantae",28296,501,"Open flowers","2012-05-23",144,0,-9999,"-9999",-9999
"15",1149042,4689,"-9999",8702,32.970837,-108.598663,1375,"NM",1163,"Salix","gooddingii","Goodding's willow","Plantae",27986,501,"Open flowers","2012-05-14",135,1,50,"25-49%",-9999
"16",1170496,4689,"-9999",8702,32.970837,-108.598663,1375,"NM",1163,"Salix","gooddingii","Goodding's willow","Plantae",27986,501,"Open flowers","2012-05-17",138,0,50,"-9999",-9999
"17",1220265,4689,"-9999",8702,32.970837,-108.598663,1375,"NM",1163,"Salix","gooddingii","Goodding's willow","Plantae",27986,501,"Open flowers","2012-05-21",142,0,50,"-9999",-9999
"18",1220678,4689,"-9999",8702,32.970837,-108.598663,1375,"NM",1163,"Salix","gooddingii","Goodding's willow","Plantae",27986,501,"Open flowers","2012-05-25",146,0,50,"-9999",-9999
"19",1231281,4689,"-9999",8702,32.970837,-108.598663,1375,"NM",1163,"Salix","gooddingii","Goodding's willow","Plantae",27986,501,"Open flowers","2012-06-04",156,0,50,"-9999",-9999
"20",1313870,4689,"-9999",8702,32.970837,-108.598663,1375,"NM",1163,"Salix","gooddingii","Goodding's willow","Plantae",27986,501,"Open flowers","2012-06-09",161,0,50,"-9999",-9999
"21",1326385,4689,"-9999",8702,32.970837,-108.598663,1375,"NM",1163,"Salix","gooddingii","Goodding's willow","Plantae",27986,501,"Open flowers","2012-06-27",179,0,50,"-9999",-9999
"22",1326466,4689,"-9999",8702,32.970837,-108.598663,1375,"NM",1163,"Salix","gooddingii","Goodding's willow","Plantae",27986,501,"Open flowers","2012-07-06",188,0,50,"-9999",-9999
"23",1397363,4689,"-9999",8702,32.970837,-108.598663,1375,"NM",1163,"Salix","gooddingii","Goodding's willow","Plantae",27986,501,"Open flowers","2012-07-14",196,0,50,"-9999",-9999
"24",1484641,4689,"-9999",8702,32.970837,-108.598663,1375,"NM",1163,"Salix","gooddingii","Goodding's willow","Plantae",27986,501,"Open flowers","2012-07-28",210,0,50,"-9999",-9999
"25",1484722,4689,"-9999",8702,32.970837,-108.598663,1375,"NM",1163,"Salix","gooddingii","Goodding's willow","Plantae",27986,501,"Open flowers","2012-08-13",226,0,50,"-9999",-9999
"26",1484803,4689,"-9999",8702,32.970837,-108.598663,1375,"NM",1163,"Salix","gooddingii","Goodding's willow","Plantae",27986,501,"Open flowers","2012-08-20",233,0,50,"-9999",-9999
"27",1540847,4689,"-9999",8702,32.970837,-108.598663,1375,"NM",1163,"Salix","gooddingii","Goodding's willow","Plantae",27986,501,"Open flowers","2012-08-29",242,0,50,"-9999",-9999
